iter	RMSE
0	4225.766449
1	3970.018861
2	3736.119799
3	3531.789231
4	3349.487331
5	3191.0746
6	3053.438794
7	2931.022332
8	2817.471571
9	2716.156885
10	2624.048126
11	2546.891035
12	2478.104734
13	2415.004976
14	2358.194847
15	2305.833031
16	2263.481862
17	2224.671702
18	2190.574191
19	2155.455713
20	2124.945853
21	2099.969571
22	2077.122096
23	2055.402521
24	2036.39146
25	2011.864887
26	1994.670633
27	1979.915617
28	1962.476679
29	1944.985888
30	1932.803671
31	1917.143563
32	1905.912386
33	1895.206491
34	1886.663479
35	1874.99965
36	1867.503459
37	1858.791597
38	1850.680935
39	1843.662504
40	1838.301854
41	1833.585813
42	1826.405461
43	1820.974203
44	1815.681859
45	1809.8059
46	1802.103802
47	1797.66333
48	1791.721716
49	1784.004333
50	1778.604607
51	1775.184885
52	1768.951037
53	1765.057722
54	1759.851234
55	1756.032684
56	1751.213577
57	1747.589984
58	1742.676767
59	1739.700703
60	1735.571702
61	1733.378731
62	1730.455014
63	1727.780756
64	1725.458643
65	1723.378875
66	1720.501609
67	1718.532599
68	1715.669847
69	1714.131191
70	1712.250522
71	1708.875164
72	1707.129112
73	1704.80369
74	1702.566583
75	1700.587183
76	1698.47962
77	1697.097807
78	1695.482577
79	1693.19314
80	1691.328086
81	1688.402934
82	1686.924941
83	1685.323152
84	1683.547862
85	1681.540909
86	1680.290453
87	1678.852393
88	1676.808476
89	1675.437032
90	1673.750587
91	1672.525731
92	1671.165749
93	1669.613449
94	1667.755364
95	1666.25745
96	1664.876887
97	1664.186041
98	1662.698835
99	1661.482136
100	1658.700562
101	1656.843378
102	1656.178922
103	1654.682354
104	1652.807779
105	1651.641379
106	1650.448539
107	1649.268402
108	1647.658864
109	1646.7435
110	1645.53823
111	1644.20729
112	1643.027956
113	1641.746107
114	1640.249222
115	1639.082162
116	1637.935822
117	1636.724289
118	1635.72986
119	1634.905545
120	1633.455735
121	1632.771529
122	1631.889315
123	1630.936624
124	1629.745667
125	1628.821268
126	1628.020931
127	1626.682987
128	1625.211123
129	1624.194084
130	1623.182314
131	1622.098033
132	1621.142244
133	1620.11357
134	1618.966573
135	1618.255241
136	1617.055865
137	1616.229291
138	1615.557715
139	1614.449518
140	1613.797512
141	1613.281081
142	1612.649852
143	1611.754005
144	1610.735902
145	1609.48938
146	1608.52035
147	1607.477947
148	1606.595888
149	1605.979629
150	1605.180774
151	1604.279415
152	1603.632183
153	1602.972744
154	1602.001458
155	1600.884754
156	1600.098594
157	1599.595934
158	1598.600028
159	1598.089129
160	1597.522306
161	1596.445705
162	1595.634558
163	1594.865081
164	1593.715864
165	1593.132244
166	1592.593277
167	1591.836072
168	1591.16592
169	1590.159571
170	1589.548235
171	1588.336291
172	1587.526113
173	1586.474999
174	1586.043
175	1585.173508
176	1584.547214
177	1583.742754
178	1582.93826
179	1582.648139
180	1582.050338
181	1581.455637
182	1580.664928
183	1580.127174
184	1579.785739
185	1579.31043
186	1578.670113
187	1578.106174
188	1577.733781
189	1577.155586
190	1576.650849
191	1576.191621
192	1575.268484
193	1574.2888
194	1573.777957
195	1572.912816
196	1572.489581
197	1571.534094
198	1570.77812
199	1569.981017
200	1569.357304
201	1568.399322
202	1567.742062
203	1566.969505
204	1566.45194
205	1565.755332
206	1564.977665
207	1564.506976
208	1563.739075
209	1563.345378
210	1562.810942
211	1562.428802
212	1561.98167
213	1561.589665
214	1561.17425
215	1560.843826
216	1560.230767
217	1559.575369
218	1559.196834
219	1558.878796
220	1558.317571
221	1557.715097
222	1557.161809
223	1556.738415
224	1556.083059
225	1555.858856
226	1555.110075
227	1554.763436
228	1554.188248
229	1553.638885
230	1553.196681
231	1552.658961
232	1551.786545
233	1551.110662
234	1550.518539
235	1550.074362
236	1549.884499
237	1549.556879
238	1549.040954
239	1548.663794
240	1548.133039
241	1547.841624
242	1547.343422
243	1546.892351
244	1546.499568
245	1546.177076
246	1545.864036
247	1545.188596
248	1544.448169
249	1544.040754
250	1543.710772
251	1543.212813
252	1542.622678
253	1542.293028
254	1541.941544
255	1541.335577
256	1540.78631
257	1539.947559
258	1539.6536
259	1539.192669
260	1538.793403
261	1538.238773
262	1537.937799
263	1537.548938
264	1537.132912
265	1536.73411
266	1536.451794
267	1536.172178
268	1535.523756
269	1535.143807
270	1534.600942
271	1534.104392
272	1533.661551
273	1533.00173
274	1532.707831
275	1532.260752
276	1532.040886
277	1531.579767
278	1531.355966
279	1531.040107
280	1530.654319
281	1530.387592
282	1529.908879
283	1529.363306
284	1529.050104
285	1528.669187
286	1528.134644
287	1527.617759
288	1527.1878
289	1526.791292
290	1526.351988
291	1526.06738
292	1525.736723
293	1525.253019
294	1524.745061
295	1524.394294
296	1523.999232
297	1523.416652
298	1523.099904
299	1522.808476
300	1522.43948
301	1522.017166
302	1521.752399
303	1521.199181
304	1520.815153
305	1520.578193
306	1520.252493
307	1519.916949
308	1519.434525
309	1519.213629
310	1518.710578
311	1518.453454
312	1518.098982
313	1517.804696
314	1517.24405
315	1516.862566
316	1516.533723
317	1516.289455
318	1516.034401
319	1515.512516
320	1515.110691
321	1514.722798
322	1514.413252
323	1513.860532
324	1513.658741
325	1513.249792
326	1512.886651
327	1512.594331
328	1512.371965
329	1512.092045
330	1511.881791
331	1511.701105
332	1511.062575
333	1510.707932
334	1510.246974
335	1510.066497
336	1509.716012
337	1509.511583
338	1509.292341
339	1508.846677
340	1508.533196
341	1508.25883
342	1507.800783
343	1507.403788
344	1507.162523
345	1506.917171
346	1506.69351
347	1506.382354
348	1506.160126
349	1505.755964
350	1505.548389
351	1505.129524
352	1504.824477
353	1504.545091
354	1504.068765
355	1503.678289
356	1503.388253
357	1503.105349
358	1502.689496
359	1502.373101
360	1502.171494
361	1501.95004
362	1501.656705
363	1501.419444
364	1501.151457
365	1500.729693
366	1500.477328
367	1500.307752
368	1500.031562
369	1499.863985
370	1499.685372
371	1499.473585
372	1499.169206
373	1498.974299
374	1498.770741
375	1498.373145
376	1498.203847
377	1497.804994
378	1497.535594
379	1497.209507
380	1496.906236
381	1496.491148
382	1496.203605
383	1495.959526
384	1495.725485
385	1495.466328
386	1495.25217
387	1494.888655
388	1494.620207
389	1494.457496
390	1494.154946
391	1493.664421
392	1493.472818
393	1493.313061
394	1492.934088
395	1492.601828
396	1492.453882
397	1492.233338
398	1492.031088
399	1491.821785
400	1491.520916
401	1491.229741
402	1490.982118
403	1490.669493
404	1490.457711
405	1490.045335
406	1489.877036
407	1489.69515
408	1489.472125
409	1489.190818
410	1489.019635
411	1488.750693
412	1488.516654
413	1488.210056
414	1487.990568
415	1487.846975
416	1487.531282
417	1487.303631
418	1486.960934
419	1486.710568
420	1486.430873
421	1486.069249
422	1485.924566
423	1485.674995
424	1485.429591
425	1485.14756
426	1484.92277
427	1484.601098
428	1484.363169
429	1483.974708
430	1483.767837
431	1483.296234
432	1483.015467
433	1482.761239
434	1482.506766
435	1482.109917
436	1481.798315
437	1481.609976
438	1481.416613
439	1481.207835
440	1481.049183
441	1480.791212
442	1480.423431
443	1480.286506
444	1479.979106
445	1479.731357
446	1479.513878
447	1479.305182
448	1479.084737
449	1478.839986
450	1478.603951
451	1478.296181
452	1478.116665
453	1477.947774
454	1477.753606
455	1477.503119
456	1477.321534
457	1477.150588
458	1476.980975
459	1476.767596
460	1476.564106
461	1476.394047
462	1476.256266
463	1475.925175
464	1475.766196
465	1475.557559
466	1475.482232
467	1475.370412
468	1475.170569
469	1474.966278
470	1474.727456
471	1474.469474
472	1474.255411
473	1474.084205
474	1473.812168
475	1473.58552
476	1473.353213
477	1473.005382
478	1472.804678
479	1472.697476
480	1472.435989
481	1472.126042
482	1471.983251
483	1471.847331
484	1471.601768
485	1471.43184
486	1471.305924
487	1471.11389
488	1470.93344
489	1470.740678
490	1470.50389
491	1470.348349
492	1470.154796
493	1469.847202
494	1469.538053
495	1469.41179
496	1469.242992
497	1469.085887
498	1468.825902
499	1468.677189
500	1468.528864
501	1468.299858
502	1467.928482
503	1467.546573
504	1467.351806
505	1467.130428
506	1466.964943
507	1466.829665
508	1466.545788
509	1466.235192
510	1466.002695
511	1465.791913
512	1465.532193
513	1465.323511
514	1465.094384
515	1464.86008
516	1464.712876
517	1464.523715
518	1464.414344
519	1464.28523
520	1464.117724
521	1463.886143
522	1463.72523
523	1463.503799
524	1463.314522
525	1463.071555
526	1462.947973
527	1462.722373
528	1462.557667
529	1462.389005
530	1462.146923
531	1462.020669
532	1461.670696
533	1461.393446
534	1461.042124
535	1460.737676
536	1460.523568
537	1460.165554
538	1460.02621
539	1459.834102
540	1459.640162
541	1459.546548
542	1459.427635
543	1459.263916
544	1459.08541
545	1458.850438
546	1458.720525
547	1458.551653
548	1458.378261
549	1458.120559
550	1457.87553
551	1457.731786
552	1457.540054
553	1457.341406
554	1457.164042
555	1457.051438
556	1456.889472
557	1456.775689
558	1456.632691
559	1456.454099
560	1456.275972
561	1456.185234
562	1456.013625
563	1455.705321
564	1455.443571
565	1455.253134
566	1455.097299
567	1454.986177
568	1454.854816
569	1454.661274
570	1454.4094
571	1454.221078
572	1453.971869
573	1453.696133
574	1453.498422
575	1453.337776
576	1453.136552
577	1453.027482
578	1452.853007
579	1452.700833
580	1452.598623
581	1452.402897
582	1452.184407
583	1452.046361
584	1451.912004
585	1451.794658
586	1451.664233
587	1451.542404
588	1451.418055
589	1451.243366
590	1451.110345
591	1450.939714
592	1450.757371
593	1450.441045
594	1450.328585
595	1450.118976
596	1450.012713
597	1449.763783
598	1449.627554
599	1449.412864
600	1449.164296
601	1448.946983
602	1448.826488
603	1448.698692
604	1448.550883
605	1448.190296
606	1448.054693
607	1447.88762
608	1447.7347
609	1447.588097
610	1447.405569
611	1447.248049
612	1447.071514
613	1446.872131
614	1446.766502
615	1446.687806
616	1446.486904
617	1446.334847
618	1446.222109
619	1445.947503
620	1445.718033
621	1445.522155
622	1445.393986
623	1445.119867
624	1444.87577
625	1444.751013
626	1444.608791
627	1444.521226
628	1444.419647
629	1444.268335
630	1444.030859
631	1443.878774
632	1443.704343
633	1443.496905
634	1443.405676
635	1443.132588
636	1442.9949
637	1442.899654
638	1442.760346
639	1442.674907
640	1442.490215
641	1442.340907
642	1442.239691
643	1442.144283
644	1441.968329
645	1441.656506
646	1441.478863
647	1441.384
648	1441.251118
649	1441.092595
650	1440.966273
651	1440.883537
652	1440.719819
653	1440.535399
654	1440.359765
655	1440.276609
656	1440.117414
657	1439.998915
658	1439.784425
659	1439.585129
660	1439.439556
661	1439.295344
662	1439.183985
663	1439.042053
664	1438.873043
665	1438.732998
666	1438.470293
667	1438.393506
668	1438.2627
669	1438.127997
670	1438.031563
671	1437.837146
672	1437.716586
673	1437.576933
674	1437.463828
675	1437.274537
676	1437.192297
677	1437.03901
678	1436.828164
679	1436.5778
680	1436.439245
