iter	Passed	Remaining
0	20	20708
1	32	16420
2	44	14842
3	56	14070
4	68	13618
5	80	13272
6	91	12988
7	103	12775
8	115	12673
9	126	12507
10	137	12363
11	149	12331
12	160	12222
13	173	12206
14	185	12194
15	197	12131
16	208	12044
17	219	11986
18	231	11966
19	243	11934
20	254	11885
21	266	11830
22	277	11808
23	289	11760
24	300	11726
25	313	11742
26	324	11696
27	335	11643
28	345	11581
29	357	11573
30	369	11553
31	382	11563
32	393	11537
33	404	11488
34	414	11434
35	426	11432
36	437	11393
37	448	11355
38	460	11351
39	471	11325
40	482	11287
41	493	11248
42	504	11232
43	515	11198
44	526	11166
45	538	11165
46	550	11167
47	561	11141
48	573	11130
49	584	11112
50	596	11090
51	607	11067
52	617	11041
53	628	11011
54	641	11018
55	652	11005
56	665	11007
57	676	10980
58	689	10999
59	702	11001
60	714	11004
61	726	10984
62	737	10966
63	748	10946
64	759	10924
65	770	10910
66	782	10894
67	792	10868
68	803	10840
69	814	10820
70	825	10806
71	836	10787
72	848	10771
73	859	10749
74	870	10732
75	881	10717
76	892	10700
77	903	10682
78	915	10672
79	926	10654
80	936	10628
81	949	10631
82	961	10627
83	973	10616
84	983	10591
85	995	10582
86	1006	10560
87	1016	10537
88	1028	10523
89	1039	10507
90	1049	10485
91	1061	10471
92	1072	10457
93	1082	10434
94	1094	10421
95	1106	10415
96	1117	10403
97	1128	10383
98	1138	10365
99	1149	10348
100	1162	10350
101	1174	10336
102	1185	10323
103	1195	10302
104	1208	10298
105	1219	10289
106	1231	10274
107	1243	10268
108	1254	10256
109	1264	10231
110	1275	10218
111	1286	10203
112	1297	10185
113	1308	10172
114	1319	10153
115	1329	10130
116	1341	10120
117	1352	10108
118	1363	10091
119	1374	10078
120	1385	10065
121	1396	10048
122	1408	10039
123	1419	10031
124	1430	10014
125	1440	9993
126	1452	9983
127	1464	9974
128	1475	9961
129	1487	9955
130	1499	9949
131	1510	9933
132	1522	9923
133	1534	9917
134	1545	9903
135	1556	9889
136	1568	9878
137	1580	9872
138	1592	9866
139	1604	9854
140	1615	9841
141	1626	9828
142	1638	9816
143	1649	9807
144	1661	9798
145	1672	9780
146	1684	9772
147	1696	9765
148	1707	9753
149	1719	9744
150	1732	9739
151	1743	9729
152	1755	9720
153	1767	9710
154	1779	9700
155	1792	9695
156	1802	9677
157	1813	9665
158	1825	9655
159	1837	9644
160	1847	9627
161	1859	9616
162	1870	9603
163	1881	9589
164	1892	9575
165	1903	9563
166	1915	9553
167	1927	9547
168	1939	9536
169	1949	9515
170	1960	9504
171	1973	9498
172	1983	9483
173	1995	9472
174	2006	9461
175	2017	9444
176	2028	9432
177	2040	9423
178	2052	9413
179	2062	9396
180	2074	9388
181	2086	9378
182	2098	9368
183	2109	9353
184	2120	9343
185	2132	9334
186	2143	9321
187	2156	9315
188	2168	9306
189	2179	9291
190	2190	9278
191	2202	9267
192	2214	9259
193	2226	9248
194	2236	9234
195	2249	9225
196	2259	9211
197	2271	9202
198	2283	9193
199	2296	9186
200	2307	9170
201	2319	9163
202	2332	9156
203	2344	9148
204	2356	9137
205	2368	9129
206	2380	9120
207	2392	9111
208	2404	9101
209	2416	9089
210	2428	9081
211	2439	9067
212	2452	9063
213	2465	9054
214	2476	9041
215	2486	9026
216	2499	9017
217	2510	9007
218	2520	8988
219	2531	8974
220	2542	8960
221	2552	8945
222	2564	8935
223	2574	8920
224	2585	8905
225	2596	8891
226	2607	8880
227	2617	8864
228	2630	8856
229	2641	8843
230	2652	8831
231	2664	8820
232	2676	8810
233	2688	8802
234	2699	8786
235	2711	8777
236	2722	8763
237	2731	8746
238	2744	8740
239	2755	8726
240	2766	8713
241	2777	8698
242	2788	8687
243	2800	8678
244	2812	8668
245	2823	8655
246	2835	8644
247	2847	8633
248	2858	8622
249	2869	8608
250	2880	8594
251	2890	8580
252	2902	8570
253	2913	8556
254	2924	8545
255	2936	8534
256	2949	8528
257	2961	8517
258	2974	8509
259	2988	8504
260	3002	8500
261	3013	8489
262	3024	8475
263	3036	8465
264	3047	8452
265	3057	8436
266	3068	8423
267	3078	8408
268	3089	8396
269	3102	8389
270	3114	8378
271	3124	8363
272	3136	8351
273	3147	8339
274	3157	8325
275	3168	8311
276	3178	8297
277	3190	8285
278	3201	8273
279	3212	8260
280	3223	8246
281	3234	8234
282	3245	8223
283	3257	8211
284	3267	8198
285	3279	8188
286	3290	8174
287	3301	8161
288	3313	8153
289	3325	8142
290	3336	8129
291	3348	8117
292	3358	8104
293	3370	8092
294	3382	8083
295	3394	8072
296	3404	8057
297	3414	8042
298	3425	8032
299	3436	8018
300	3447	8005
301	3458	7994
302	3468	7979
303	3478	7965
304	3489	7951
305	3499	7936
306	3512	7928
307	3523	7917
308	3533	7901
309	3544	7889
310	3556	7878
311	3566	7864
312	3576	7850
313	3589	7842
314	3601	7831
315	3612	7818
316	3623	7806
317	3634	7794
318	3645	7782
319	3656	7770
320	3668	7758
321	3678	7744
322	3689	7732
323	3700	7721
324	3710	7707
325	3722	7696
326	3732	7682
327	3743	7670
328	3755	7659
329	3766	7646
330	3776	7632
331	3787	7620
332	3798	7607
333	3808	7594
334	3820	7584
335	3833	7576
336	3844	7563
337	3856	7552
338	3868	7542
339	3879	7531
340	3890	7518
341	3901	7505
342	3912	7494
343	3923	7482
344	3936	7473
345	3947	7461
346	3957	7447
347	3970	7438
348	3982	7428
349	3993	7415
350	4003	7402
351	4014	7390
352	4025	7377
353	4036	7366
354	4047	7354
355	4059	7342
356	4070	7330
357	4081	7319
358	4091	7305
359	4102	7293
360	4113	7281
361	4124	7269
362	4134	7255
363	4146	7244
364	4157	7232
365	4169	7221
366	4180	7209
367	4190	7196
368	4201	7184
369	4212	7173
370	4224	7161
371	4234	7148
372	4246	7138
373	4258	7127
374	4268	7114
375	4280	7103
376	4292	7093
377	4302	7079
378	4314	7069
379	4325	7058
380	4337	7046
381	4348	7034
382	4360	7024
383	4371	7012
384	4381	6999
385	4393	6988
386	4404	6976
387	4414	6963
388	4426	6952
389	4437	6940
390	4447	6927
391	4457	6914
392	4469	6903
393	4479	6890
394	4490	6877
395	4500	6864
396	4511	6853
397	4523	6841
398	4534	6830
399	4544	6817
400	4555	6805
401	4567	6793
402	4578	6782
403	4589	6771
404	4601	6760
405	4611	6747
406	4622	6735
407	4634	6724
408	4644	6711
409	4655	6699
410	4666	6686
411	4677	6675
412	4688	6664
413	4699	6652
414	4709	6639
415	4721	6627
416	4731	6615
417	4743	6604
418	4755	6594
419	4765	6581
420	4776	6568
421	4788	6558
422	4798	6546
423	4809	6533
424	4821	6523
425	4834	6513
426	4844	6501
427	4856	6490
428	4870	6482
429	4883	6472
430	4896	6464
431	4910	6456
432	4924	6448
433	4938	6440
434	4951	6430
435	4962	6419
436	4975	6409
437	4988	6401
438	5002	6392
439	5014	6382
440	5027	6372
441	5040	6362
442	5051	6351
443	5063	6340
444	5074	6328
445	5086	6317
446	5098	6306
447	5109	6295
448	5119	6283
449	5131	6271
450	5142	6259
451	5152	6247
452	5164	6235
453	5176	6225
454	5187	6213
455	5198	6201
456	5209	6190
457	5220	6178
458	5231	6166
459	5242	6154
460	5252	6141
461	5262	6128
462	5273	6116
463	5285	6105
464	5297	6095
465	5312	6087
466	5324	6076
467	5335	6065
468	5346	6053
469	5359	6043
470	5371	6033
471	5382	6021
472	5398	6014
473	5413	6006
474	5427	5998
475	5441	5990
